CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Cranston city,2574,69104,79269,54.9,RI
Providence city,22103,79451,173618,50.8,RI
Newport city,1893,21623,26475,48.4,RI
Pawtucket city,4876,50436,72958,46.3,RI
Woonsocket city,1692,34503,43224,41.4,RI
East Providence city,2391,41630,48688,35.1,RI
Warwick city*,932,80920,85808,33.0,RI
