CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Carson City*,909,41204,52457,68.2,NV
North Las Vegas city,21528,42880,115488,47.6,NV
Las Vegas city,48380,277704,478434,42.4,NV
Reno city,4414,124870,180480,41.6,NV
Sparks city,1507,46122,66346,33.2,NV
Henderson city,6376,137174,175381,23.9,NV
