CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Greenville city,28871,11963,41633,68.5,MS
Jackson city,129609,50679,184256,68.2,MS
Columbus city,14075,11224,25944,59.9,MS
Meridian city,21637,17383,39968,58.7,MS
Hattiesburg city,21099,22060,44779,56.4,MS
Vicksburg city,15892,9873,26407,55.1,MS
Tupelo city,9630,23500,34211,54.4,MS
Pascagoula city,7557,17084,26200,51.7,MS
Gulfport city,23692,43337,71127,51.6,MS
Southaven city,1920,25883,28977,46.9,MS
Biloxi city,9569,35292,50644,41.5,MS
