CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Anchorage municipality,14667,181982,260283,41.4,AK
Fairbanks city,3291,19406,30224,35.8,AK
Juneau city and borough*,235,22498,30711,25.4,AK
