CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Chula Vista city,7517,55042,173556,29.9,CA
Daly City city,4482,18344,103621,29.7,CA
Cupertino city*,319,24181,50546,29.6,CA
San Bruno city*,753,18822,40165,29.6,CA
Mountain View city,1674,39029,70708,29.5,CA
Clovis city,1207,46186,68468,29.3,CA
National City city,2823,7653,54260,29.3,CA
Los Altos city*,127,21656,27693,28.9,CA
Walnut city,1237,5463,30004,28.9,CA
Stanton city*,721,11295,37403,28.8,CA
Hemet city,1407,41345,58812,28.6,CA
Ontario city,11317,42048,158007,28.4,CA
Woodland city*,527,26064,49151,28.4,CA
Santa Clarita city,2957,104646,151088,28.2,CA
Santa Clara city,2237,49392,102361,28.1,CA
Chico city,1174,46258,59954,28.0,CA
Manhattan Beach city*,206,28913,33852,28.0,CA
Oxnard city,5923,35049,170358,28.0,CA
Glendora city*,704,33564,49415,27.9,CA
Dana Point city*,252,27658,35110,27.9,CA
Burlingame city*,266,20063,28158,27.9,CA
Baldwin Park city,1071,5508,75837,27.8,CA
Rialto city,19954,19713,91873,27.7,CA
Rancho Cucamonga city,9789,70028,127743,27.7,CA
La Verne city*,975,20129,31638,27.4,CA
Fontana city,14629,30865,128929,27.4,CA
Fremont city,6084,84149,203413,27.3,CA
Lancaster city,18548,62256,118718,27.2,CA
Milpitas city,2187,14917,62698,26.9,CA
Montclair city,1986,7784,33049,26.9,CA
Petaluma city*,581,41996,54548,26.4,CA
Pleasanton city*,845,48253,63654,26.4,CA
Westminster city*,764,31962,88207,26.3,CA
Lawndale city,3852,6946,31711,26.2,CA
Yorba Linda city*,638,44071,58918,26.1,CA
San Luis Obispo city*,594,34756,44174,26.0,CA
Eureka city*,399,20548,26128,26.0,CA
Santa Cruz city*,871,39304,54593,25.9,CA
Calexico city*,37,642,27109,25.8,CA
Palm Desert city*,446,31919,41155,25.8,CA
Lake Forest city*,998,39161,58707,25.7,CA
Hayward city,14846,40896,140030,25.4,CA
Azusa city,1576,10824,44712,25.3,CA
Camarillo city*,802,41543,57077,25.2,CA
Redding city*,828,69293,80865,25.2,CA
Fairfield city,14097,47094,96178,25.1,CA
Corona city,7704,58784,124966,25.0,CA
La Habra city*,808,24399,58974,25.0,CA
San Carlos city*,193,22234,27718,24.9,CA
Laguna Hills city*,404,21471,31178,24.6,CA
Los Banos city,1007,10290,25869,24.6,CA
Livermore city,1094,54587,73345,24.5,CA
