CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Omaha city,51427,293876,390007,70.2,NE
Fremont city*,133,23570,25174,52.3,NE
Grand Island city*,145,34960,42940,46.7,NE
Lincoln city,6803,198087,225581,44.3,NE
Kearney city*,170,25525,27431,41.1,NE
Bellevue city,2674,36916,44382,29.3,NE
