CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Lewiston city*,89,29069,30904,54.8,ID
Pocatello city*,345,46502,51466,46.3,ID
Twin Falls city*,64,30199,34469,41.5,ID
Caldwell city*,86,17746,25967,40.4,ID
Nampa city*,173,40555,51867,35.4,ID
Idaho Falls city*,297,45330,50730,34.7,ID
Boise City city,1363,167022,185787,32.9,ID
Coeur d'Alene city*,73,32463,34514,31.2,ID
Meridian city*,155,32270,34919,15.4,ID
