CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Manchester city,2045,95581,107006,40.8,NH
Concord city*,398,38484,40687,34.4,NH
Nashua city,1571,74907,86605,32.2,NH
Rochester city*,140,27501,28461,25.7,NH
Dover city*,289,25217,26884,24.5,NH
