CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Fargo city*,908,84660,90599,40.3,ND
Bismarck city*,141,52387,55532,37.8,ND
Grand Forks city*,412,45534,49321,29.7,ND
Minot city*,471,33798,36567,22.8,ND
